[191, 58]
[192, 59]
[193, 59]
[194, 59]
[195, 59]
[196, 59]
[197, 59]
[198, 60]
[199, 61]
[200, 62]
[201, 63]
[202, 63]
[203, 64]
[203, 65]
[204, 65]
[205, 65]
[206, 66]
[207, 67]
[208, 67]
[209, 68]
[210, 69]
[211, 70]
[212, 70]
[213, 71]
[214, 72]
[215, 73]
[215, 74]
[216, 75]
[216, 76]
[217, 77]
[218, 78]
[218, 79]
[219, 80]
[220, 81]
[221, 82]
[222, 83]
[223, 84]
[223, 85]
[224, 86]
[225, 87]
[226, 88]
[227, 89]
[228, 89]
[229, 90]
[230, 90]
[231, 90]
[232, 90]
[233, 90]
[234, 90]
[235, 91]
[236, 91]
[237, 91]
[236, 91]
[235, 91]
[234, 90]
[233, 90]
[232, 90]
[231, 90]
[230, 90]
[229, 90]
[228, 89]
[227, 88]
[226, 88]
[225, 87]
[224, 86]
[224, 85]
[223, 84]
[222, 83]
[221, 82]
[220, 81]
[219, 80]
[218, 79]
[218, 78]
[217, 77]
[217, 76]
[216, 75]
[215, 74]
[215, 73]
[214, 72]
[213, 71]
[212, 70]
[211, 69]
[210, 68]
[209, 68]
[208, 67]
[207, 67]
[206, 66]
[205, 65]
[204, 65]
[203, 64]
[202, 63]
[201, 62]
[200, 61]
[199, 60]
[198, 59]
[197, 59]
[196, 59]
[195, 59]
[194, 59]
[193, 59]
