[206, 52]
[207, 52]
[208, 52]
[209, 53]
[210, 54]
[211, 55]
[212, 56]
[213, 57]
[214, 57]
[215, 58]
[216, 59]
[216, 60]
[217, 60]
[218, 61]
[218, 62]
[219, 63]
[220, 64]
[221, 65]
[222, 66]
[223, 66]
[224, 67]
[225, 67]
[226, 68]
[226, 69]
[226, 70]
[226, 71]
[227, 72]
[228, 73]
[228, 74]
[229, 75]
[230, 76]
[230, 77]
[231, 78]
[231, 79]
[231, 78]
[231, 77]
[230, 76]
[229, 75]
[229, 74]
[228, 73]
[227, 72]
[227, 71]
[226, 70]
[226, 69]
[226, 68]
[225, 67]
[224, 67]
[223, 66]
[222, 65]
[221, 64]
[220, 64]
[219, 63]
[219, 62]
[218, 61]
[217, 60]
[216, 59]
[215, 58]
[214, 57]
[213, 56]
[212, 55]
[211, 54]
[210, 53]
[209, 53]
[208, 52]
