[164, 273]
[165, 273]
[166, 273]
[167, 273]
[168, 274]
[169, 274]
[170, 274]
[171, 274]
[172, 275]
[173, 276]
[174, 276]
[175, 277]
[175, 278]
[176, 279]
[177, 279]
[178, 280]
[179, 280]
[180, 280]
[181, 281]
[182, 281]
[183, 282]
[184, 282]
[185, 283]
[186, 283]
[187, 283]
[188, 283]
[189, 284]
[190, 284]
[191, 284]
[192, 284]
[193, 285]
[194, 285]
[195, 285]
[196, 286]
[197, 286]
[198, 286]
[199, 286]
[200, 286]
[201, 286]
[202, 286]
[203, 287]
[204, 287]
[205, 287]
[206, 287]
[207, 287]
[208, 287]
[209, 287]
[210, 287]
[211, 287]
[212, 287]
[213, 287]
[214, 287]
[215, 287]
[216, 286]
[217, 286]
[218, 286]
[219, 286]
[220, 286]
[221, 286]
[222, 286]
[223, 286]
[224, 286]
[225, 287]
[226, 287]
[227, 287]
[228, 287]
[229, 287]
[230, 287]
[231, 286]
[232, 286]
[233, 286]
[234, 285]
[235, 285]
[236, 284]
[236, 283]
[237, 282]
[238, 282]
[239, 281]
[239, 280]
[240, 279]
[241, 278]
[242, 278]
[243, 277]
[242, 278]
[241, 278]
[240, 278]
[239, 277]
[238, 276]
[237, 276]
[236, 276]
[235, 276]
[234, 276]
[233, 276]
[232, 276]
[231, 276]
[230, 276]
[229, 276]
[228, 275]
[227, 275]
[226, 276]
[225, 276]
[224, 276]
[223, 276]
[222, 276]
[221, 276]
[220, 276]
[219, 276]
[218, 277]
[217, 277]
[216, 277]
[215, 277]
[214, 277]
[213, 278]
[212, 278]
[211, 278]
[210, 278]
[209, 278]
[208, 278]
[207, 278]
[206, 278]
[205, 278]
[204, 278]
[203, 278]
[202, 277]
[201, 277]
[200, 277]
[199, 277]
[198, 277]
[197, 276]
[196, 276]
[195, 276]
[194, 276]
[193, 276]
[192, 276]
[191, 276]
[190, 276]
[189, 276]
[188, 276]
[187, 275]
[186, 275]
[185, 275]
[184, 275]
[183, 274]
[182, 274]
[181, 274]
[180, 274]
[179, 274]
[178, 274]
[177, 274]
[176, 275]
[175, 275]
[174, 276]
[173, 276]
[172, 275]
[171, 274]
[170, 274]
[169, 274]
[168, 274]
[167, 273]
[166, 273]
