[112, 90][121, 81]
[126, 81][99, 108]
[98, 114][134, 78]
[145, 72][95, 122]
[95, 127][154, 68]
[163, 64][94, 133]
[94, 138][170, 62]
[180, 57][94, 143]
[95, 147][184, 58]
[190, 57][96, 151]
[96, 156][195, 57]
[200, 57][142, 115]
[137, 120][97, 160]
[97, 165][131, 131]
[151, 111][205, 57]
[208, 59][167, 100]
[111, 156][98, 169]
[99, 173][108, 164]
[174, 98][211, 61]
[215, 62][179, 98]
[183, 99][220, 62]
[224, 63][187, 100]
[191, 101][228, 64]
[232, 65][196, 101]
[201, 101][235, 67]
[238, 69][206, 101]
[211, 101][240, 72]
[244, 73][214, 103]
[219, 103][248, 74]
[249, 78][223, 104]
[226, 106][252, 80]
[254, 83][229, 108]
[231, 111][256, 86]
[259, 88][235, 112]
[238, 114][261, 91]
[264, 93][242, 115]
[245, 117][266, 96]
[269, 98][247, 120]
[250, 122][271, 101]
[273, 104][253, 124]
[256, 126][276, 106]
[277, 110][257, 130]
[258, 134][276, 116]
[276, 121][260, 137]
[261, 139][277, 123]
[277, 128][261, 144]
[264, 146][276, 134]
[275, 140][265, 150]
[266, 154][275, 145]
[274, 151][266, 159]
[267, 163][273, 157]
[273, 162][268, 167]
[266, 174][273, 167]
[271, 174][267, 178]
[265, 180][261, 184]
[275, 180][272, 183]
[273, 187][278, 182]
[279, 186][276, 189]
