[137, 125][138, 124]
[153, 114][128, 139]
[120, 147][119, 148]
[115, 157][158, 114]
[160, 112][168, 104]
[175, 102][115, 162]
[116, 166][179, 103]
[183, 104][120, 167]
[125, 167][187, 105]
[191, 106][146, 151]
[138, 159][133, 164]
[152, 150][195, 107]
[199, 108][159, 148]
[164, 148][205, 107]
[210, 107][168, 149]
[173, 149][215, 107]
[219, 108][176, 151]
[180, 152][221, 111]
[224, 113][184, 153]
[187, 155][228, 114]
[232, 115][190, 157]
[193, 159][236, 116]
[239, 118][196, 161]
[199, 163][241, 121]
[244, 123][200, 167]
[203, 169][247, 125]
[250, 127][205, 172]
[210, 172][220, 162]
[223, 159][250, 132]
[251, 136][229, 158]
[234, 158][253, 139]
[256, 141][239, 158]
[243, 157][257, 143]
[258, 147][248, 157]
[252, 158][257, 153]
[259, 156][256, 159]
