[260, 260][262, 258]
[267, 258][256, 269]
[253, 272][248, 277]
[249, 281][271, 259]
[275, 260][250, 285]
[166, 374][172, 368]
[200, 340][203, 337]
[250, 290][280, 260]
[283, 262][250, 295]
[210, 335][201, 344]
[182, 363][163, 382]
[159, 386][158, 387]
[159, 391][186, 364]
[203, 347][214, 336]
[248, 302][287, 263]
[291, 264][204, 351]
[189, 366][159, 396]
[161, 399][192, 368]
[206, 354][303, 257]
[308, 257][207, 358]
[194, 371][166, 399]
[171, 399][196, 374]
[208, 362][311, 259]
[315, 260][210, 365]
[199, 376][176, 399]
[181, 399][202, 378]
[211, 369][328, 252]
[333, 252][186, 399]
[191, 399][346, 244]
[351, 244][196, 399]
[201, 399][356, 244]
[370, 235][364, 241]
[361, 244][206, 399]
[211, 399][385, 225]
[399, 216][216, 399]
[221, 399][399, 221]
[399, 226][226, 399]
[231, 399][399, 231]
[399, 236][236, 399]
[241, 399][399, 241]
[399, 246][246, 399]
[251, 399][399, 251]
[399, 256][256, 399]
[261, 399][268, 392]
[280, 380][399, 261]
[399, 266][286, 379]
[268, 397][266, 399]
[291, 379][399, 271]
[399, 276][294, 381]
[297, 383][399, 281]
[399, 286][299, 386]
[301, 389][399, 291]
[399, 296][303, 392]
[303, 397][399, 301]
[399, 306][306, 399]
[311, 399][399, 311]
[399, 316][316, 399]
[321, 399][399, 321]
[399, 326][326, 399]
[331, 399][399, 331]
[399, 336][336, 399]
[341, 399][399, 341]
[399, 346][346, 399]
[351, 399][399, 351]
[399, 356][356, 399]
[361, 399][399, 361]
[399, 366][366, 399]
[371, 399][399, 371]
[399, 376][376, 399]
[381, 399][399, 381]
[399, 386][386, 399]
[391, 399][399, 391]
[399, 396][396, 399]
