[105, 182][101, 186]
[101, 191][108, 184]
[113, 184][102, 195]
[101, 201][118, 184]
[124, 183][101, 206]
[101, 211][126, 186]
[127, 190][96, 221]
[96, 226][128, 194]
[137, 185][142, 180]
[147, 180][137, 190]
[132, 195][99, 228]
[101, 231][150, 182]
[153, 184][104, 233]
[108, 234][157, 185]
[161, 186][111, 236]
[112, 240][165, 187]
[185, 172][180, 177]
[173, 184][113, 244]
[113, 249][178, 184]
[180, 182][189, 173]
[192, 175][114, 253]
[115, 257][194, 178]
[193, 184][116, 261]
[117, 265][193, 189]
[188, 199][185, 202]
[176, 211][118, 269]
[119, 273][178, 214]
[178, 219][119, 278]
[119, 281][179, 221]
[216, 184][224, 176]
[230, 175][216, 189]
[181, 224][119, 286]
[119, 291][183, 227]
[217, 193][226, 184]
[240, 175][238, 177]
[227, 188][217, 198]
[186, 229][118, 297]
[117, 303][188, 232]
[219, 201][229, 191]
[241, 179][244, 176]
[233, 192][217, 208]
[193, 232][115, 310]
[112, 318][196, 234]
[218, 212][239, 191]
[244, 191][219, 216]
[199, 236][112, 323]
[114, 326][204, 236]
[219, 221][248, 192]
[252, 193][219, 226]
[210, 235][116, 329]
[118, 332][182, 268]
[186, 264][256, 194]
[258, 197][191, 264]
[182, 273][120, 335]
[123, 337][183, 277]
[196, 264][258, 202]
[259, 206][200, 265]
[186, 279][125, 340]
[128, 342][191, 279]
[204, 266][260, 210]
[262, 213][207, 268]
[195, 280][181, 294]
[179, 296][130, 345]
[133, 347][179, 301]
[190, 290][200, 280]
[211, 269][266, 214]
[262, 223][211, 274]
[205, 280][193, 292]
[180, 305][136, 349]
[139, 351][184, 306]
[198, 292][257, 233]
[256, 239][203, 292]
[188, 307][142, 353]
[145, 355][193, 307]
[210, 290][252, 248]
[251, 254][215, 290]
[197, 308][148, 357]
[152, 358][200, 310]
[216, 294][228, 282]
[234, 276][247, 263]
[240, 275][239, 276]
[228, 287][216, 299]
[204, 311][155, 360]
[159, 361][225, 295]
[228, 297][163, 362]
[168, 362][228, 302]
[228, 307][170, 365]
[175, 365][228, 312]
[228, 317][179, 366]
[183, 367][228, 322]
[229, 326][188, 367]
[193, 367][229, 331]
[231, 334][197, 368]
[202, 368][234, 336]
[236, 339][206, 369]
[209, 371][240, 340]
[242, 343][213, 372]
[217, 373][244, 346]
[247, 348][221, 374]
[225, 375][251, 349]
[253, 352][230, 375]
[236, 374][258, 352]
[261, 354][242, 373]
[249, 371][261, 359]
[261, 364][260, 365]
[258, 367][256, 369]
