[1, 161][4, 158]
[10, 157][1, 166]
[3, 169][16, 156]
[23, 154][6, 171]
[8, 174][28, 154]
[33, 154][11, 176]
[14, 178][38, 154]
[42, 155][16, 181]
[19, 183][47, 155]
[51, 156][22, 185]
[24, 188][56, 156]
[61, 156][27, 190]
[29, 193][65, 157]
[70, 157][32, 195]
[34, 198][74, 158]
[78, 159][37, 200]
[41, 201][83, 159]
[87, 160][43, 204]
[46, 206][92, 160]
[96, 161][49, 208]
[52, 210][100, 162]
[104, 163][55, 212]
[57, 215][107, 165]
[110, 167][60, 217]
[63, 219][112, 170]
[113, 174][66, 221]
[69, 223][114, 178]
[116, 181][72, 225]
[76, 226][119, 183]
[121, 186][79, 228]
[82, 230][122, 190]
[124, 193][85, 232]
[88, 234][126, 196]
[126, 201][91, 236]
[93, 239][128, 204]
[129, 208][96, 241]
[98, 244][131, 211]
[132, 215][101, 246]
[103, 249][134, 218]
[136, 221][107, 250]
[110, 252][137, 225]
[139, 228][114, 253]
[120, 252][140, 232]
[143, 234][125, 252]
[128, 254][145, 237]
[145, 242][131, 256]
[135, 257][145, 247]
[144, 253][141, 256]
